ingredient, 計画表, 材料, 通告, 検査, B
itinerary, 材料, 目録, 旅行計画, 記念品, C
bulletin, 報告書, 旅行計画, 掲示, 調査, C
audit, 審査, 資料, 契約, 説明会, A
accommodate, 調整する, 収容する, 合意する, 確認する, B
affordable, 高価な, 手頃な, 不便な, 複雑な, B
annoy, 選ぶ, 回復する, 悩ます, 達成する, C
courier, 顧客, 通信, 配達員, 監督者, C
questionnaire, アンケート, 手紙, 契約, 案内, A
designate, 議論する, 指定する, 拒否する, 調査する, B
memorandum, メモ, 報告書, 説明書, 日記, A
photocopier, 印刷機, 電話, 複写機, スキャナー, C
cater, 提供する, 要求する, 拒否する, 調査する, A
prescription, 説明, 処方箋, 推薦, 予約, B
spite, 好意, 誠実, 恨み, 熱望, C
cab, バス, タクシー, 自転車, 馬車, B
ladder, 柵, 橋, 階段, はしご, D
sculpture, 絵画, 彫刻, 写真, 曲, B
proficiency, 興味, 熱望, 能力, 習熟, D
urgent, 緊急の, 遅延の, 重要な, 余暇の, A
annually, 毎月, 毎週, 年次で, 毎日, C
illogical, 合理的, 非論理的, 説得力のある, 明確な, B
voucher, 証明書, チケット, クーポン, 領収書, C
behalf, 敵意, 利益, 代理, 損失, C
paycheck, 奨学金, 給料, 賞金, 手当, B
sidewalk, 通路, 高速道路, 歩道, 駐車場, C
promptly, ためらって, ゆっくりと, すぐに, 最終的に, C
vacancy, 満室, 空室, 雇用, 予約, B
cumulative, 一時的, 累積的, 即時的, 減少的, B
overdue, 未払いの, 期限切れの, 進行中の, 時間どおりの, B
prediction, 批評, 解釈, 予測, 確認, C
garment, 家具, 衣服, 装置, 食品, B
plumber, 電気技師, 塗装工, 配管工, 大工, C
deduction, 加算, 減算, 推論, 除算, C
definite, あいまいな, 確実な, 一時的な, 複雑な, B
reimburse, 請求する, 拒否する, 補償する, 貯蓄する, C
thoroughly, 表面的に, 一部分だけ, 徹底的に, ほとんどない, C
incur, 避ける, 負担する, 分割する, 増加する, B
luncheon, 朝食, 午後のお茶, 夕食, 昼食, D
accomplishment, 試み, 失敗, 成就, 目標, C
accustom, 無視する, 慣れさせる, 避ける, 紛らわしい, B
reinforce, 弱める, 無視する, 強化する, 減少する, C
appreciation, 批判, 軽視, 評価, 無関心, C
distract, 集中させる, 無視する, 気を散らす, 支援する, C
exemption, 課税, 免除, 罰金, 要求, B
furnish, 取り除く, 提供する, 破壊する, 避ける, B
mandatory, 任意の, 偶発的な, 強制的な, 一時的な, C
pharmacy, 図書館, 薬局, スーパーマーケット, 病院, B
boardroom, 廊下, 事務所, 会議室, 食堂, C
caterer, 調理師, 配送員, イベントプランナー, 仕出し業者, D
durable, 脆い, 一時的な, 耐久性のある, 古い, C
outdated, 最新の, 時代遅れの, 革新的な, 進行中の, B
patience, 急ぎ, 誠実, 忍耐, 不満, C
withdrawal, 預金, 引き出し, 追加, 貢献, B
excursion, 定期便, 会議, 遠足, 実験, C